,P01_Count_MultinomialNB,P02_TFIDF_Unigram_LogReg,P03_TFIDF_UniBi_LogReg,P04_TFIDF_UniBi_LinearSVC,P05_TFIDF_UniBi_SGDLog
train_accuracy,0.9291,0.9037,0.8986,0.9956,0.9963
train_precision_macro,0.8767,0.9319,0.9376,0.9957,0.9959
train_recall_macro,0.8958,0.7476,0.7301,0.9898,0.9918
train_f1_macro,0.8858,0.8011,0.7851,0.9927,0.9938
train_precision_weighted,0.9312,0.91,0.908,0.9956,0.9963
train_recall_weighted,0.9291,0.9037,0.8986,0.9956,0.9963
train_f1_weighted,0.93,0.8909,0.8832,0.9956,0.9963
train_precision_class_0,0.9635,0.897,0.8904,0.9956,0.9965
train_recall_class_0,0.9488,0.9961,0.9984,0.9991,0.9989
train_f1_class_0,0.9561,0.9439,0.9413,0.9973,0.9977
train_support_class_0,7405.0,7405.0,7405.0,7405.0,7405.0
train_precision_class_1,0.7899,0.9668,0.9849,0.9958,0.9952
train_recall_class_1,0.8427,0.4991,0.4619,0.9805,0.9846
train_f1_class_1,0.8155,0.6583,0.6288,0.9881,0.9899
train_support_class_1,1691.0,1691.0,1691.0,1691.0,1691.0
train_balanced_accuracy,0.8958,0.7476,0.7301,0.9898,0.9918
train_roc_auc,0.961,0.9638,0.9768,0.9999,0.9999
train_pr_auc,0.8981,0.897,0.9313,0.9993,0.9994
test_accuracy,0.8799,0.8738,0.8698,0.8958,0.8997
test_precision_macro,0.7991,0.8601,0.8789,0.8472,0.8589
test_recall_macro,0.8177,0.689,0.6665,0.7873,0.7889
test_f1_macro,0.8078,0.7324,0.7101,0.8122,0.8172
test_precision_weighted,0.8841,0.8705,0.8723,0.8904,0.8947
test_recall_weighted,0.8799,0.8738,0.8698,0.8958,0.8997
test_f1_weighted,0.8818,0.8545,0.8452,0.8909,0.8943
test_precision_class_0,0.9345,0.8767,0.8683,0.916,0.9159
test_recall_class_0,0.9168,0.9833,0.9903,0.96,0.9654
test_f1_class_0,0.9256,0.9269,0.9253,0.9375,0.94
test_support_class_0,1851.0,1851.0,1851.0,1851.0,1851.0
test_precision_class_1,0.6638,0.8434,0.8896,0.7784,0.8019
test_recall_class_1,0.7187,0.3948,0.3428,0.6147,0.6123
test_f1_class_1,0.6901,0.5378,0.4949,0.6869,0.6944
test_support_class_1,423.0,423.0,423.0,423.0,423.0
test_balanced_accuracy,0.8177,0.689,0.6665,0.7873,0.7889
test_roc_auc,0.9054,0.9133,0.9157,0.9161,0.9203
test_pr_auc,0.7616,0.7502,0.7677,0.7834,0.7843
