,P24_FrozenDistilBERT_MLP_PyTorch
train_accuracy,0.8953
train_precision_macro,0.8414
train_recall_macro,0.7943
train_f1_macro,0.8146
train_precision_weighted,0.8904
train_recall_weighted,0.8953
train_f1_weighted,0.8915
train_precision_class_0,0.9194
train_recall_class_0,0.9552
train_f1_class_0,0.9369
train_support_class_0,7405.0
train_precision_class_1,0.7634
train_recall_class_1,0.6334
train_f1_class_1,0.6923
train_support_class_1,1691.0
train_balanced_accuracy,0.7943
train_roc_auc,0.9238
train_pr_auc,0.7823
test_accuracy,0.8852
test_precision_macro,0.8175
test_recall_macro,0.7882
test_f1_macro,0.8015
test_precision_weighted,0.8809
test_recall_weighted,0.8852
test_f1_weighted,0.8824
test_precision_class_0,0.9184
test_recall_class_0,0.9427
test_f1_class_0,0.9304
test_support_class_0,1851.0
test_precision_class_1,0.7166
test_recall_class_1,0.6336
test_f1_class_1,0.6725
test_support_class_1,423.0
test_balanced_accuracy,0.7882
test_roc_auc,0.9215
test_pr_auc,0.7658
