,P06_TFIDF_Sublinear_LogReg,P07_CharTFIDF_LogReg,P08_CharTFIDF_LinearSVC,P09_WordChar_Hybrid_LogReg,P10_WordChar_Hybrid_LinearSVC
train_accuracy,0.8989,0.907,0.9919,0.9394,0.9989
train_precision_macro,0.9372,0.9341,0.9929,0.9594,0.9986
train_recall_macro,0.7309,0.7565,0.9802,0.8407,0.9977
train_f1_macro,0.7858,0.8098,0.9864,0.8858,0.9982
train_precision_weighted,0.908,0.9128,0.9919,0.9425,0.9989
train_recall_weighted,0.8989,0.907,0.9919,0.9394,0.9989
train_f1_weighted,0.8836,0.8952,0.9918,0.935,0.9989
train_precision_class_0,0.8907,0.9003,0.9913,0.9325,0.9991
train_recall_class_0,0.9982,0.9961,0.9988,0.9978,0.9996
train_f1_class_0,0.9414,0.9458,0.995,0.9641,0.9993
train_support_class_0,7405.0,7405.0,7405.0,7405.0,7405.0
train_precision_class_1,0.9837,0.9679,0.9945,0.9863,0.9982
train_recall_class_1,0.4636,0.5169,0.9616,0.6836,0.9959
train_f1_class_1,0.6302,0.6739,0.9778,0.8075,0.997
train_support_class_1,1691.0,1691.0,1691.0,1691.0,1691.0
train_balanced_accuracy,0.7309,0.7565,0.9802,0.8407,0.9977
train_roc_auc,0.9773,0.9709,0.9997,0.9899,1.0
train_pr_auc,0.9324,0.9111,0.9986,0.9658,1.0
test_accuracy,0.8707,0.8703,0.8835,0.8839,0.8918
test_precision_macro,0.8822,0.8567,0.8242,0.8637,0.8363
test_recall_macro,0.668,0.6787,0.7643,0.7226,0.7858
test_f1_macro,0.712,0.7211,0.7887,0.7655,0.8073
test_precision_weighted,0.8738,0.8669,0.8765,0.8797,0.8863
test_recall_weighted,0.8707,0.8703,0.8835,0.8839,0.8918
test_f1_weighted,0.8463,0.8492,0.8776,0.8701,0.8874
test_precision_class_0,0.8688,0.873,0.9075,0.8892,0.916
test_recall_class_0,0.9908,0.9838,0.9541,0.9795,0.9546
test_f1_class_0,0.9258,0.9251,0.9302,0.9321,0.9349
test_support_class_0,1851.0,1851.0,1851.0,1851.0,1851.0
test_precision_class_1,0.8957,0.8404,0.7409,0.8383,0.7565
test_recall_class_1,0.3452,0.3735,0.5745,0.4657,0.617
test_f1_class_1,0.4983,0.5172,0.6471,0.5988,0.6797
test_support_class_1,423.0,423.0,423.0,423.0,423.0
test_balanced_accuracy,0.668,0.6787,0.7643,0.7226,0.7858
test_roc_auc,0.9165,0.9087,0.9141,0.9233,0.92
test_pr_auc,0.7687,0.7455,0.7524,0.7809,0.7757
