,P11_TFIDF_SVD_LogReg,P12_TFIDF_SVD_LinearSVC,P13_TFIDF_SelectKBest_LogReg,P14_TFIDF_SelectKBest_LinearSVC,P15_TFIDF_ComplementNB
train_accuracy,0.883,0.8884,0.8883,0.9594,0.9454
train_precision_macro,0.8595,0.857,0.9278,0.9666,0.9101
train_recall_macro,0.7224,0.7448,0.7037,0.8982,0.9092
train_f1_macro,0.7644,0.7833,0.7563,0.9278,0.9096
train_precision_weighted,0.8782,0.8828,0.8984,0.9601,0.9453
train_recall_weighted,0.883,0.8884,0.8883,0.9594,0.9454
train_f1_weighted,0.8694,0.8781,0.869,0.9578,0.9453
train_precision_class_0,0.8893,0.8981,0.881,0.9563,0.9661
train_recall_class_0,0.9781,0.9734,0.9976,0.9957,0.9668
train_f1_class_0,0.9316,0.9342,0.9357,0.9756,0.9665
train_support_class_0,7405.0,7405.0,7405.0,7405.0,7405.0
train_precision_class_1,0.8297,0.8159,0.9747,0.9769,0.8541
train_recall_class_1,0.4666,0.5163,0.4098,0.8007,0.8516
train_f1_class_1,0.5973,0.6324,0.577,0.8801,0.8528
train_support_class_1,1691.0,1691.0,1691.0,1691.0,1691.0
train_balanced_accuracy,0.7224,0.7448,0.7037,0.8982,0.9092
train_roc_auc,0.8972,0.8998,0.9447,0.9868,0.974
train_pr_auc,0.7405,0.7442,0.8668,0.9639,0.9289
test_accuracy,0.869,0.8676,0.8663,0.8949,0.8918
test_precision_macro,0.8085,0.7961,0.8792,0.8664,0.831
test_recall_macro,0.7152,0.729,0.6553,0.7613,0.7959
test_f1_macro,0.7472,0.7547,0.6969,0.7989,0.8116
test_precision_weighted,0.8585,0.8577,0.8699,0.8901,0.8874
test_recall_weighted,0.869,0.8676,0.8663,0.8949,0.8918
test_f1_weighted,0.8574,0.8592,0.8392,0.8862,0.8888
test_precision_class_0,0.8881,0.8942,0.8643,0.9042,0.9208
test_recall_class_0,0.96,0.9498,0.9914,0.9741,0.9487
test_f1_class_0,0.9226,0.9211,0.9235,0.9378,0.9345
test_support_class_0,1851.0,1851.0,1851.0,1851.0,1851.0
test_precision_class_1,0.7289,0.6981,0.894,0.8286,0.7411
test_recall_class_1,0.4704,0.5083,0.3191,0.5485,0.643
test_f1_class_1,0.5718,0.5882,0.4704,0.66,0.6886
test_support_class_1,423.0,423.0,423.0,423.0,423.0
test_balanced_accuracy,0.7152,0.729,0.6553,0.7613,0.7959
test_roc_auc,0.8852,0.8826,0.9076,0.9121,0.9011
test_pr_auc,0.6726,0.6684,0.7493,0.7776,0.7695
